h,w
0,68
1,68
2,67
3,66
2,67
3,66
2,67
1,68
2,67
1,68
2,67
1,68
2,67
3,66
2,67
3,66
2,67
3,66
2,67
1,68
2,67
1,68
2,67
1,68
2,67
1,68
2,67
3,66
2,67
1,68
2,67
3,66
2,67
1,68
2,67
3,66
2,67
3,66
2,67
1,68
2,67
3,66
2,67
1,68
2,67
1,68
2,67
1,68
2,67
1,68
2,67
3,66
2,67
3,66
3,67
3,66
2,66
3,66
4,67
3,66
2,66
3,66
4,67
3,66
3,67
3,66
2,66
3,66
4,67
3,66
2,65
3,66
4,67
3,66
3,67
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
6,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
6,69
5,69
4,68
5,69
4,68
3,68
4,68
5,68
5,67
6,66
5,67
5,66
5,67
5,68
6,68
7,69
8,69
9,69
10,69
10,68
10,69
9,68
9,69
10,69
11,69
11,68
10,68
11,69
10,69
11,69
10,68
10,69
10,68
9,69
8,69
9,68
8,68
8,69
9,69
8,68
8,69
8,68
9,68
9,69
8,68
9,69
8,68
9,67
9,66
10,67
11,67
11,68
10,69
11,69
10,69
9,68
10,69
9,68
10,67
11,68
10,68
11,69
10,69
11,69
10,69
9,68
8,69
9,69
8,69
9,68
10,68
9,67
9,68
9,69
10,69
9,69
10,69
11,69
10,69
9,69
8,69
9,69
9,68
10,69
11,68
10,68
9,69
8,69
9,69
8,69
9,69
8,69
9,68
10,68
11,69
10,68
9,69
8,69
8,68
8,69
9,69
8,69
9,68
10,69
10,68
9,69
8,69
9,69
10,69
11,68
11,67
10,66
11,67
10,67
11,67
10,66
9,67
10,67
10,66
11,67
11,68
11,67
10,67
10,66
9,66
10,67
11,68
10,69
11,69
11,68
11,69
10,69
11,69
10,69
10,68
