h,w
0,68
1,68
2,67
3,66
2,67
1,68
2,67
3,66
2,67
1,68
2,67
3,66
2,67
1,68
2,67
3,66
2,67
3,66
2,67
1,68
2,67
3,66
2,67
1,68
2,67
3,66
2,67
3,66
2,67
1,68
2,67
3,66
2,67
1,68
2,67
1,68
2,67
1,68
2,67
3,66
2,67
1,68
2,67
1,68
2,67
3,66
2,67
1,68
2,67
1,68
2,67
3,66
2,67
3,66
2,65
3,66
2,66
3,66
4,66
3,66
3,67
3,66
4,67
3,66
2,65
3,66
4,67
3,66
2,65
3,66
2,65
3,66
4,66
3,66
3,67
3,66
4,67
3,66
2,65
3,66
4,66
5,67
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
4,68
5,69
5,68
6,67
7,67
8,68
9,68
8,69
8,68
8,69
9,69
10,69
11,69
10,69
9,69
10,69
9,69
10,69
11,69
10,68
11,69
10,69
11,69
11,68
11,69
11,68
11,69
10,69
11,69
11,68
10,69
11,69
11,68
11,69
10,69
11,69
10,69
10,68
11,69
10,69
9,69
10,69
11,69
10,68
9,69
8,69
9,69
8,69
9,68
10,69
9,69
8,69
9,69
8,69
8,68
8,69
8,68
9,67
9,66
10,66
11,67
10,68
9,69
8,69
8,68
8,69
9,68
9,69
10,69
10,68
11,69
11,68
11,67
10,67
9,67
8,68
8,69
9,69
10,69
11,69
10,68
11,68
11,67
10,66
11,67
10,66
11,67
12,66
13,66
14,67
15,67
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
16,67
16,66
17,67
18,67
18,66
19,66
18,67
19,67
18,66
19,66
20,67
21,66
22,67
23,67
23,66
24,67
25,68
25,69
26,68
25,69
26,69
27,69
28,69
27,69
28,69
27,69
26,68
26,69
25,69
26,68
25,69
26,68
26,69
26,68
27,69
26,69
27,69
28,69
29,69
30,69
31,69
30,69
31,69
32,69
31,69
32,69
33,69
34,69
33,69
34,69
35,69
36,69
35,69
36,69
37,69
38,69
37,69
38,69
37,69
38,69
37,69
38,69
37,69
38,69
37,69
36,69
35,69
34,69
35,69
34,69
35,69
36,69
37,69
36,69
37,69
38,69
37,69
36,69
37,69
38,69
37,69
38,69
37,69
38,69
37,69
36,69
37,69
36,69
37,69
36,69
35,69
34,69
33,69
34,69
33,69
34,69
33,69
34,69
35,69
36,69
35,69
36,69
35,69
34,69
35,69
34,69
33,69
34,69
35,69
36,69
37,69
38,69
37,69
36,69
35,69
34,69
33,69
32,69
33,69
32,69
31,69
32,69
33,69
34,69
35,69
36,69
35,69
36,69
37,69
38,69
37,69
36,69
37,69
38,69
37,69
38,69
37,69
36,69
35,69
36,69
37,69
38,69
37,69
38,69
37,69
36,69
35,69
34,69
33,69
34,69
35,69
34,69
35,69
36,69
35,69
34,69
33,69
32,69
31,69
32,69
33,69
32,69
31,69
32,69
33,69
33,68
32,69
31,69
32,69
33,69
34,69
35,69
34,69
35,69
34,69
35,69
36,69
37,69
38,69
39,69
38,69
38,70
38,69
39,68
38,69
39,70
38,69
39,70
38,69
38,70
38,69
37,70
38,69
39,70
38,69
38,70
38,69
39,68
38,69
39,69
40,70
39,71
39,72
40,72
